App,Deploys,Expected Behaviour,Type,Persistency,Docker compose,Secrets,Healthcheck defined,Dependency,Total microservices,Languages,Network
akkoma,FALSE,FALSE,API,Postgres,TRUE,FALSE,FALSE,FALSE,2,Elixir,
angular,FALSE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,FALSE,1,Angular,
apache-php,FALSE,FALSE,Monolith,N/A,TRUE,FALSE,FALSE,FALSE,1,PHP,
aspnet-mssql,TRUE,TRUE,Monolith,Mysql,TRUE,FALSE,TRUE,FALSE,2,ASPNet-Mysql,
bookinfo,FALSE,FALSE,Microservices,Mysql,FALSE,FALSE,FALSE,FALSE,5,Ruby-Python-JS-Java-Mysql,
bovine,FALSE,FALSE,Monolith,N/A,TRUE,FALSE,FALSE,TRUE,1,Python,
django,FALSE,FALSE,Monolith,N/A,TRUE,FALSE,FALSE,FALSE,1,Python,
django-postgresql,FALSE,FALSE,Monolith,Postgres,TRUE,FALSE,FALSE,TRUE,2,Python-Postgres,
elasticsearch-logstash-kibana,FALSE,FALSE,Microservices,Mapped,TRUE,FALSE,TRUE,TRUE,3,Elasticsearch-logstash-kibana,
example-voting-app,FALSE,FALSE,Microservices,Mapped,FALSE,FALSE,FALSE,FALSE,5,C#-Python-JS-Redis-Postgres,Parallel
fastapi,TRUE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,FALSE,1,Python,
flask,TRUE,TRUE,Microservices,N/A,TRUE,FALSE,FALSE,FALSE,1,Python,
flask-redis,FALSE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,FALSE,2,Python-Redis,
getting-started-todo-app,FALSE,FALSE,Microservices,Mysql,TRUE,FALSE,TRUE,TRUE,5,JS-PHP-Mysql,
gitea-postgres,FALSE,FALSE,Microservices,Postgres,TRUE,FALSE,FALSE,FALSE,2,Go-Postgres,
istio-mastery,FALSE,FALSE,Microservices,Mapped,TRUE,FALSE,FALSE,FALSE,4,C#--JS-Python-Java,
microcalc,FALSE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,TRUE,8,JS-Python-Java-Go-C#,
microservices-demo,FALSE,FALSE,Microservices,N/A,FALSE,FALSE,FALSE,TRUE,12,JS-Python-Java-Go,
minecraft,TRUE,TRUE,Monolith,Mapped,TRUE,FALSE,FALSE,FALSE,1,N/A,
nextcloud-postgres,FALSE,FALSE,Monolith,Postgres,TRUE,FALSE,TRUE,FALSE,2,PHP-Postgres,
nextcloud-redis-mariadb,FALSE,FALSE,Microservices,Mariadb,TRUE,FALSE,FALSE,FALSE,3,PHP-Redis-MariaDb,Star
nginx-aspnet-mysql,FALSE,FALSE,Microservices,Mysql,TRUE,TRUE,TRUE,TRUE,3,Nginx-ASPNet-Mysql,
nginx-flask-mongo,FALSE,FALSE,Microservices,Mongo,TRUE,FALSE,FALSE,TRUE,3,Nginx-Python-Mongo,
nginx-golang,FALSE,FALSE,Microservices,Mapped,TRUE,FALSE,FALSE,FALSE,2,Nginx-Go,
nginx-golang-mysql,FALSE,FALSE,Microservices,Mysql,TRUE,TRUE,TRUE,TRUE,3,Nginx-Go-Mysql,
nginx-golang-postgres,FALSE,FALSE,Microservices,Postgres,TRUE,TRUE,TRUE,TRUE,3,Nginx-Go-Postgres,
nginx-nodejs-redis,FALSE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,FALSE,3,Nginx-JS-Redis,
pasture,FALSE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,TRUE,4,N/A,
pihole-cloudflared-doh,FALSE,FALSE,Microservices,N/A,TRUE,FALSE,FALSE,TRUE,3,Shell,Linear
plex,TRUE,FALSE,Monolith,N/A,TRUE,FALSE,FALSE,FALSE,1,Rust,
portainer,TRUE,TRUE,Monolith,Mapped,TRUE,FALSE,FALSE,FALSE,1,Shell,
postgresql-pgadmin,FALSE,FALSE,Microservices,Postgres,TRUE,FALSE,FALSE,FALSE,2,Postgres-N/A,
prometheus-grafana,FALSE,FALSE,Microservices,Prometheus,TRUE,FALSE,FALSE,FALSE,2,Prometheus-Grafana,
react-nginx,TRUE,TRUE,Microservices,N/A,TRUE,FALSE,FALSE,FALSE,1,JS-Nginx,
sparkjava,FALSE,FALSE,Microservices,False,TRUE,FALSE,FALSE,FALSE,1,Java,
sparkjava-mysql,FALSE,FALSE,Microservices,Mysql,TRUE,TRUE,FALSE,FALSE,2,Java-Mysql,
traefik-golang,FALSE,FALSE,Microservices,Mapped,TRUE,FALSE,FALSE,TRUE,2,Traeffik-Go,
wireguard,FALSE,FALSE,Monolith,Mapped,TRUE,FALSE,FALSE,FALSE,1,Shell,
wordpress,FALSE,FALSE,Microservices,Mariadb,TRUE,FALSE,FALSE,FALSE,2,PHP-MariaDb,
wordsmith,FALSE,FALSE,Microservices,Postgres,TRUE,FALSE,FALSE,FALSE,3,Go-Java-Postgres,
